id,description

1, Pozdrav úsmevom aspoň tri ľudí s ktorými sa stretnete počas dňa.
2, Nájdi niečo za čím si už dlhšie pozeral že to chceš vyhodiť a daruj to alebo recykluj.
3, Napíš krátku odkaz alebo list niekomu koho máš rád alebo kto ťa inšpiruje.
4, Choď na prechádzku alebo joguj vonku aspoň 15 minút.
5, Vytiahni zo zásuvky starý album s fotografiou a spomínaj na staré časy.
6, Zaznamenaj v denníku tri veci za ktoré si vďačný alebo vďačná.
7, Vyskúšaj nový recept na jedlo ktoré si ešte nikdy predtým neskúšal.
8, Vyskúšaj 5-minútovú meditáciu alebo hlboké dýchanie na upokojenie mysle.
9, Choď spať o 30 minút skôr aby si si doprial viac odpočinku.
10, Vyber si knihu ktorú si chcel prečítať a prečítaj si aspoň jednu kapitolu.
11, Nájdi si pieseň ktorú si dlho nepočul a počúvaj ju.
12, Vyskúšaj nový štýl oblečenia alebo kombináciu odevov.
13, Pozoruj kvapky dažďa alebo oblaky počas dňa.
14, Vyskúšaj krátku relaxačnú techniku napríklad hĺbkové dýchanie.
15, Vytvor si zoznam vecí ktoré ťa tešia a ktoré by si rád zažil alebo urobil v budúcnosti.
16, Urob si čas na kreatívnu činnosť ako je kreslenie alebo písanie.
17, Povedz niekomu blízkemu že ho máš rád alebo ťa zaujíma a prečo.
18, Urob si krátky experiment: pozoruj farby okolo seba a snaž sa vnímať ich rôznorodosť.
19, Vyber si jedno slovo alebo myšlienku a zamysli sa nad ňou počas dňa.
20, Vyhlás si technologický detox na hodinu a venovanie sa sebe samému.
